Rótulos de Linha;Aeronautics;Alpine Skiing;Alpinism;Archery;Art Competitions;Athletics;Badminton;Baseball;Basketball;Basque Pelota;Beach Volleyball;Biathlon;Bobsleigh;Boxing;Canoeing;Cricket;Croquet;Cross Country Skiing;Curling;Cycling;Diving;Equestrianism;Fencing;Figure Skating;Football;Freestyle Skiing;Golf;Gymnastics;Handball;Hockey;Ice Hockey;Jeu De Paume;Judo;Lacrosse;Luge;Military Ski Patrol;Modern Pentathlon;Motorboating;Nordic Combined;Polo;Racquets;Rhythmic Gymnastics;Roque;Rowing;Rugby;Rugby Sevens;Sailing;Shooting;Short Track Speed Skating;Skeleton;Ski Jumping;Snowboarding;Softball;Speed Skating;Swimming;Synchronized Swimming;Table Tennis;Taekwondo;Tennis;Trampolining;Triathlon;Tug-Of-War;Volleyball;Water Polo;Weightlifting;Wrestling;Total Geral
55;;;;5;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;4;2;;;;;;;;;;;;;;;;;;;13
56;;;;3;2;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;1;;;5;3;;;;;;;;;;;;;;;;;;;20
57;;;1;;2;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;7
58;;;;1;4;;;;;;;;;;;;2;;1;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;1;1;;;;;;;;;;;;;;;;;;;12
59;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2;;;;;;;;;;;;;;;;;;;;6
60;;;;;2;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;1;7;;;;;;;;;;;;;;;;;;;12
61;;;;3;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;6
63;;;;7;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9
64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;2;;;;;;;;;;;;;;;;;;;3
65;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
66;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;2
68;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
69;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;2
72;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;2
73;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
(vazio);;;9;34;4;24;;;2;;;;2;13;;6;;;;28;4;10;23;1;40;;;69;;31;;;;24;;;;;;2;;;;115;48;;53;61;;;;;;;21;;;;12;;;24;;27;10;31;728
Total Geral;1;428;25;353;156;3969;168;336;1080;2;72;408;398;944;1165;24;8;776;152;1263;427;965;1743;386;1571;102;46;2256;1060;1528;1530;3;547;60;180;12;186;7;165;67;10;132;3;2945;162;74;1221;1228;284;30;207;90;179;580;3048;215;168;144;340;30;30;115;969;1057;646;1296;39772
